日期,开始时间,结束时间,站点名,线路名,进站量,出站量
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,环球度假区,1&八通线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,九棵树,1&八通线,0.0,10.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,通州北苑,1&八通线,0.0,30.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,八里桥,1&八通线,3.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,传媒大学,1&八通线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,四惠东,1&八通线,0.0,65.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,四惠,1&八通线,2.0,20.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,国贸,1&八通线,11.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,建国门,1&八通线,7.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东单,1&八通线,2.0,10.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,王府井,1&八通线,2.0,8.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,天安门东,1&八通线,3.0,13.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,西单,1&八通线,0.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,复兴门,1&八通线,0.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,南礼士路,1&八通线,7.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,公主坟,1&八通线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,万寿路,1&八通线,1.0,5.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,五棵松,1&八通线,3.0,24.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,玉泉路,1&八通线,0.0,13.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,八宝山,1&八通线,3.0,26.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,鼓楼大街,2号线,3.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,安定门,2号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,雍和宫,2号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东直门,2号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东四十条,2号线,1.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,建国门,2号线,2.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北京站,2号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,崇文门,2号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,前门,2号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,和平门,2号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,复兴门,2号线,1.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,车公庄,2号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,西直门,2号线,0.0,21.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,天通苑北,5号线,3.0,23.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,天通苑,5号线,4.0,16.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,立水桥,5号线,9.0,10.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,立水桥南,5号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北苑路北,5号线,1.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,大屯路东,5号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,惠新西街南口,5号线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,和平西桥,5号线,1.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,和平里北街,5号线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,雍和宫,5号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北新桥,5号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东四,5号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东单,5号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,崇文门,5号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,蒲黄榆,5号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,刘家窑,5号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,潞城,6号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东夏园,6号线,1.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,郝家府,6号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北运河西,6号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,通州北关,6号线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,黄渠,6号线,0.0,17.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,褡裢坡,6号线,2.0,21.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,十里堡,6号线,4.0,15.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,金台路,6号线,4.0,15.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东四,6号线,5.0,7.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,南锣鼓巷,6号线,1.0,11.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北海北,6号线,10.0,6.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,平安里,6号线,1.0,16.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,车公庄,6号线,2.0,7.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,白石桥南,6号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,廖公庄,6号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,环球度假区,7号线,3.0,18.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,群芳,7号线,3.0,6.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,郎辛庄,7号线,0.0,8.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,双合,7号线,1.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,欢乐谷景区,7号线,1.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,大郊亭,7号线,1.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,广渠门外,7号线,1.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,广渠门内,7号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,桥湾,7号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,珠市口,7号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,虎坊桥,7号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,广安门内,7号线,1.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,达官营,7号线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北京西站,7号线,0.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,平西府,8号线,0.0,37.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,回龙观东大街,8号线,0.0,46.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,育新,8号线,0.0,15.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,西小口,8号线,0.0,10.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,永泰庄,8号线,5.0,14.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,森林公园南门,8号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,奥林匹克公园,8号线,1.0,9.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北土城,8号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,安华桥,8号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,鼓楼大街,8号线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,什刹海,8号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,南锣鼓巷,8号线,3.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,中国美术馆,8号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,金鱼胡同,8号线,1.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,王府井,8号线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,前门,8号线,3.0,2.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,珠市口,8号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,天桥,8号线,3.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,永定门外,8号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,和义,8号线,4.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,东高地,8号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,火箭万源,8号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,瀛海,8号线,0.0,12.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,国家图书馆,9&房山线,3.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,白石桥南,9&房山线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北京西站,9&房山线,0.0,4.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,六里桥东,9&房山线,3.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,丰台东大街,9&房山线,0.0,3.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,丰台南路,9&房山线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,海淀黄庄,10号线,1.0,12.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,西土城,10号线,3.0,19.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,牡丹园,10号线,5.0,6.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,健德门,10号线,1.0,6.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,北土城,10号线,0.0,5.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,惠新西街南口,10号线,3.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,三元桥,10号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,亮马桥,10号线,0.0,1.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,农业展览馆,10号线,0.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,团结湖,10号线,2.0,0.0
2023/5/20,2023/5/20 00:00:00,2023/5/20 00:30:00,金台夕照,10号线,3.0,0.0
