日期,开始时间,结束时间,站点名,线路名,进站量,出站量
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,环球度假区,1&八通线,1.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,九棵树,1&八通线,0.0,17.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,通州北苑,1&八通线,0.0,21.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,八里桥,1&八通线,1.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,传媒大学,1&八通线,0.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,四惠东,1&八通线,0.0,43.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,四惠,1&八通线,0.0,9.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,国贸,1&八通线,2.0,6.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,建国门,1&八通线,2.0,5.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,东单,1&八通线,0.0,1.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,王府井,1&八通线,7.0,1.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,天安门东,1&八通线,3.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,西单,1&八通线,4.0,4.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,复兴门,1&八通线,0.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,南礼士路,1&八通线,1.0,3.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,公主坟,1&八通线,0.0,0.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,万寿路,1&八通线,0.0,2.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,五棵松,1&八通线,0.0,8.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,玉泉路,1&八通线,3.0,12.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,八宝山,1&八通线,3.0,9.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,鼓楼大街,2号线,1.0,3.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,安定门,2号线,0.0,2.0
2023/5/26,2023/5/26 00:00:00,2023/5/26 00:30:00,雍和宫,2号线,0.0,0.0
